source,target,value
Development Emergency Modality,Climate action & energy transformation,1
Development Emergency Modality,Decent jobs & universal social protection,1
Development Emergency Modality,Digital transformation,1
Development Emergency Modality,Food systems transformation,1
Development Emergency Modality,SDG localization,1
Development Emergency Modality,Solutions for internal displacements,1
Development Emergency Modality,Transforming education,1
Climate action & energy transformation," $7,229,741 ",1
Decent jobs & universal social protection," $10,185,912 ",1
Digital transformation," $1,995,507 ",1
Food systems transformation," $18,625,603 ",1
SDG localization," $3,890,591 ",1
Solutions for internal displacements," $999,890 ",1
Transforming education," $900,000 ",1
SDG catalytic investments,Climate action & energy transformation,1
SDG catalytic investments,Decent jobs & universal social protection,1
SDG catalytic investments,Food systems transformation,1
Climate action & energy transformation," $51,552,114 ",1
Decent jobs & universal social protection," $7,100,000 ",1
Food systems transformation," $10,193,055 ",1
SIDS resilience,Climate action & energy transformation,1
SIDS resilience,Decent jobs & universal social protection,1
SIDS resilience,Digital transformation,1
SIDS resilience,Food systems transformation,1
SIDS resilience,SDG localization,1
SIDS resilience,Solutions for internal displacements,1
SIDS resilience,Transforming education,1
Climate action & energy transformation," $5,085,791 ",1
Decent jobs & universal social protection," $20,747,549 ",1
Digital transformation," $16,855,165 ",1
Food systems transformation," $9,221,800 ",1
SDG localization," $9,419,150 ",1
Solutions for internal displacements," $714,400 ",1
Transforming education," $2,168,600 ",1
Integrated social protection,Decent jobs & universal social protection,1
Integrated social protection,Digital transformation,1
Integrated social protection,Food systems transformation,1
Decent jobs & universal social protection," $9,221,800 ",1
Digital transformation," $9,419,150 ",1
Food systems transformation," $714,400 ",1
SDG financing enabling envrionment,SDG localization,1
SDG financing enabling envrionment,Solutions for internal displacements,1
SDG financing enabling envrionment,Transforming education,1
SDG financing enabling envrionment,Climate action & energy transformation,1
SDG localization," $2,168,600 ",1
Solutions for internal displacements," $9,221,800 ",1
Transforming education," $9,419,150 ",1
Climate action & energy transformation," $714,400 ",1
